ID,BasinID,Lat,Long,Rainfed croplands,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%),Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) ,Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m),Closed (>40%) broadleaved deciduous forest (>5m),Open (15-40%) broadleaved deciduous forest/woodland (>5m),Open (15-40%) needleleaved deciduous or evergreen forest (>5m),Mosaic forest or shrubland (50-70%) / grassland (20-50%),Mosaic grassland (50-70%) / forest or shrubland (20-50%) ,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)","Closed to open (>15%) herbaceous vegetation (grassland, savannas or lichens/mosses)",Sparse (<15%) vegetation,"Closed to open (>15%) grassland or woody vegetation on regularly flooded or waterlogged soil - Fresh, brackish or saline water",Bare areas,Water bodies
86,86,-12.56,32.28,0.000,0.000,0.310,0.000,0.053,0.246,0.000,0.015,0.002,0.267,0.100,0.001,0.000,0.000,0.007
87,87,-12.33,32.24,0.000,0.000,0.204,0.000,0.028,0.502,0.000,0.004,0.003,0.134,0.115,0.000,0.000,0.000,0.012
88,88,-12.41,32.08,0.000,0.000,0.329,0.000,0.004,0.150,0.000,0.040,0.020,0.182,0.259,0.001,0.000,0.000,0.016
89,89,-12.38,31.95,0.000,0.000,0.426,0.000,0.004,0.204,0.000,0.034,0.005,0.191,0.136,0.000,0.000,0.000,0.000
90,90,-12.57,32.52,0.000,0.000,0.530,0.000,0.012,0.321,0.000,0.001,0.000,0.125,0.012,0.000,0.000,0.000,0.000
91,91,-12.49,32.53,0.000,0.000,0.392,0.000,0.027,0.381,0.000,0.000,0.000,0.195,0.006,0.000,0.000,0.000,0.000
92,92,-12.56,32.66,0.000,0.000,0.157,0.000,0.178,0.534,0.000,0.000,0.000,0.131,0.000,0.000,0.000,0.000,0.000
93,93,-12.24,31.82,0.000,0.000,0.149,0.000,0.217,0.365,0.000,0.002,0.000,0.233,0.034,0.000,0.000,0.000,0.000
94,94,-12.17,31.91,0.000,0.000,0.200,0.000,0.184,0.392,0.000,0.001,0.001,0.201,0.022,0.000,0.000,0.000,0.000
95,95,-12.32,31.56,0.001,0.000,0.090,0.000,0.486,0.259,0.003,0.000,0.000,0.160,0.001,0.000,0.000,0.000,0.000
96,96,-12.2,31.6,0.001,0.000,0.051,0.000,0.648,0.203,0.002,0.000,0.000,0.096,0.000,0.000,0.000,0.000,0.000
97,97,-12.07,31.62,0.001,0.000,0.034,0.000,0.689,0.155,0.005,0.000,0.000,0.117,0.000,0.000,0.000,0.000,0.000
98,98,-11.87,31.62,0.000,0.000,0.017,0.000,0.289,0.553,0.000,0.000,0.000,0.141,0.000,0.000,0.000,0.000,0.000
99,99,-11.95,31.78,0.000,0.000,0.006,0.000,0.876,0.037,0.000,0.000,0.000,0.081,0.000,0.000,0.000,0.000,0.000
100,100,-11.79,31.86,0.000,0.000,0.001,0.000,0.586,0.091,0.000,0.000,0.000,0.322,0.000,0.000,0.000,0.000,0.000
101,101,-11.73,31.72,0.000,0.000,0.003,0.000,0.350,0.415,0.000,0.000,0.000,0.233,0.000,0.000,0.000,0.000,0.000
102,102,-12,31.45,0.000,0.000,0.015,0.000,0.112,0.551,0.000,0.000,0.001,0.319,0.001,0.000,0.000,0.000,0.000
103,103,-12.16,31.43,0.000,0.000,0.000,0.000,0.318,0.188,0.000,0.000,0.000,0.494,0.000,0.000,0.000,0.000,0.000
104,104,-12.23,32.07,0.000,0.000,0.410,0.000,0.008,0.241,0.000,0.003,0.007,0.066,0.263,0.000,0.000,0.000,0.003
105,105,-12.21,32.39,0.000,0.000,0.273,0.000,0.019,0.378,0.000,0.005,0.002,0.255,0.058,0.002,0.000,0.000,0.010
106,106,-12.34,32.5,0.000,0.000,0.335,0.000,0.085,0.316,0.000,0.002,0.000,0.247,0.017,0.000,0.000,0.000,0.000
107,107,-12.09,32.07,0.000,0.000,0.305,0.000,0.129,0.299,0.000,0.004,0.003,0.152,0.109,0.000,0.000,0.000,0.001
108,108,-12.08,32.18,0.000,0.000,0.384,0.000,0.065,0.306,0.000,0.002,0.005,0.142,0.089,0.001,0.000,0.000,0.007
109,109,-12.13,32.48,0.000,0.000,0.268,0.000,0.011,0.328,0.000,0.022,0.002,0.326,0.041,0.000,0.000,0.000,0.002
110,110,-12.04,32.37,0.000,0.000,0.187,0.000,0.064,0.450,0.000,0.007,0.005,0.173,0.100,0.002,0.000,0.000,0.013
111,111,-11.84,32.38,0.000,0.000,0.310,0.000,0.034,0.371,0.000,0.004,0.002,0.114,0.159,0.000,0.000,0.000,0.005
112,112,-12.02,32.53,0.000,0.000,0.082,0.000,0.152,0.515,0.000,0.005,0.002,0.185,0.051,0.000,0.000,0.000,0.006
113,113,-11.9,32.27,0.000,0.000,0.321,0.000,0.041,0.242,0.000,0.001,0.004,0.110,0.280,0.000,0.000,0.000,0.000
114,114,-11.92,32.07,0.000,0.000,0.508,0.000,0.114,0.243,0.000,0.000,0.004,0.087,0.044,0.000,0.000,0.000,0.000
115,115,-11.73,32.02,0.000,0.000,0.085,0.000,0.478,0.245,0.000,0.000,0.000,0.188,0.003,0.000,0.000,0.000,0.000
116,116,-11.65,32.14,0.000,0.000,0.138,0.000,0.326,0.249,0.001,0.001,0.002,0.247,0.036,0.000,0.000,0.000,0.000
